
公告,#genre#
防止失联,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_51674527&response=res&format=mp4&type=convert_url
关注下方,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_1565837&response=res&format=mp4&type=convert_url
公众号[码点小干货],http://antiserver.kuwo.cn/anti.s?rid=MUSIC_18747906&response=res&format=mp4&type=convert_url
获取最新资源,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_24042013&response=res&format=mp4&type=convert_url
小程序[码点小干货],http://antiserver.kuwo.cn/anti.s?rid=MUSIC_24042025&response=res&format=mp4&type=convert_url
软件APP,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_954805&response=res&format=mp4&type=convert_url
源工具,http://antiserver.kuwo.cn/anti.s?rid=MUSIC_8120530&response=res&format=mp4&type=convert_url
央视,#genre#
CCTV1,http://182.98.16.124:20000/hls/1/index.m3u8
CCTV5,http://182.98.16.124:20000/hls/2/index.m3u8
CCTV15,http://182.98.16.124:20000/hls/17/index.m3u8
CCTV13,http://182.98.16.124:20000/hls/19/index.m3u8
CCTV11,http://182.98.16.124:20000/hls/20/index.m3u8
CCTV7,http://182.98.16.124:20000/hls/29/index.m3u8
CCTVNEWS,http://182.98.16.124:20000/hls/41/index.m3u8
CCTV发现之旅,http://182.98.16.124:20000/hls/65/index.m3u8
CCTV1,http://110.72.78.62:808/hls/54/index.m3u8
CCTV2,http://110.72.78.62:808/hls/97/index.m3u8
CCTV3,http://110.72.78.62:808/hls/37/index.m3u8
CCTV4,http://110.72.78.62:808/hls/113/index.m3u8
CCTV5,http://110.72.78.62:808/hls/38/index.m3u8
CCTV6,http://110.72.78.62:808/hls/39/index.m3u8
CCTV7,http://110.72.78.62:808/hls/98/index.m3u8
CCTV8,http://110.72.78.62:808/hls/40/index.m3u8
CCTV9,http://110.72.78.62:808/hls/119/index.m3u8
CCTV10,http://110.72.78.62:808/hls/99/index.m3u8
CCTV11,http://110.72.78.62:808/hls/100/index.m3u8
CCTV12,http://110.72.78.62:808/hls/101/index.m3u8
CCTV13,http://110.72.78.62:808/hls/106/index.m3u8
CCTV14,http://110.72.78.62:808/hls/105/index.m3u8
CCTV15,http://110.72.78.62:808/hls/102/index.m3u8
CCTV7,http://110.72.78.62:808/hls/5/index.m3u8
CCTV5,http://110.72.78.62:808/hls/14/index.m3u8
CCTV娱乐,http://110.72.78.62:808/hls/66/index.m3u8
CCTV9,http://110.72.78.62:808/hls/119/index.m3u8
CCTV5,http://110.72.78.62:808/hls/38/index.m3u8
CCTV6,http://110.72.78.62:808/hls/39/index.m3u8
CCTV8,http://110.72.78.62:808/hls/40/index.m3u8
CCTV1,http://110.72.78.62:808/hls/54/index.m3u8
CCTV7,http://110.72.78.62:808/hls/98/index.m3u8
CCTV12,http://110.72.78.62:808/hls/101/index.m3u8
CCTV1,http://110.72.46.67:808/hls/01/index.m3u8
CCTV2,http://110.72.46.67:808/hls/02/index.m3u8
CCTV3,http://110.72.46.67:808/hls/84/index.m3u8
CCTV4,http://110.72.46.67:808/hls/04/index.m3u8
CCTV5,http://110.72.46.67:808/hls/82/index.m3u8
CCTV6,http://110.72.46.67:808/hls/85/index.m3u8
CCTV7,http://110.72.46.67:808/hls/7/index.m3u8
CCTV8,http://110.72.46.67:808/hls/86/index.m3u8
CCTV9,http://110.72.46.67:808/hls/9/index.m3u8
CCTV10,http://110.72.46.67:808/hls/10/index.m3u8
CCTV11,http://110.72.46.67:808/hls/11/index.m3u8
CCTV12,http://110.72.46.67:808/hls/12/index.m3u8
CCTV13,http://110.72.46.67:808/hls/13/index.m3u8
CCTV14,http://110.72.46.67:808/hls/14/index.m3u8
CCTV15,http://110.72.46.67:808/hls/15/index.m3u8
CCTV5,http://110.72.46.67:808/hls/16/index.m3u8
CCTV中学生,http://110.72.46.67:808/hls/78/index.m3u8
CCTV1,http://112.114.137.97:888/hls/1/index.m3u8
CCTV2,http://112.114.137.97:888/hls/2/index.m3u8
CCTV3,http://112.114.137.97:888/hls/3/index.m3u8
CCTV4,http://112.114.137.97:888/hls/4/index.m3u8
CCTV5,http://112.114.137.97:888/hls/5/index.m3u8
CCTV6,http://112.114.137.97:888/hls/6/index.m3u8
CCTV7,http://112.114.137.97:888/hls/7/index.m3u8
CCTV8,http://112.114.137.97:888/hls/8/index.m3u8
CCTV9,http://112.114.137.97:888/hls/9/index.m3u8
CCTV10,http://112.114.137.97:888/hls/10/index.m3u8
CCTV11,http://112.114.137.97:888/hls/11/index.m3u8
CCTV12,http://112.114.137.97:888/hls/12/index.m3u8
CCTV13,http://112.114.137.97:888/hls/13/index.m3u8
CCTV14,http://112.114.137.97:888/hls/14/index.m3u8
CCTV15,http://112.114.137.97:888/hls/15/index.m3u8
CCTV5,http://112.114.137.97:888/hls/16/index.m3u8
CCTV1,http://110.7.128.167:8096/tsfile/live/0001_1.m3u8
CCTV2,http://110.7.128.167:8096/tsfile/live/0002_1.m3u8
CCTV3,http://110.7.128.167:8096/tsfile/live/0003_1.m3u8
CCTV4,http://110.7.128.167:8096/tsfile/live/0004_1.m3u8
CCTV5,http://110.7.128.167:8096/tsfile/live/0005_1.m3u8
CCTV6,http://110.7.128.167:8096/tsfile/live/0006_1.m3u8
CCTV7,http://110.7.128.167:8096/tsfile/live/0007_1.m3u8
CCTV8,http://110.7.128.167:8096/tsfile/live/0008_1.m3u8
CCTV9,http://110.7.128.167:8096/tsfile/live/0009_1.m3u8
CCTV10,http://110.7.128.167:8096/tsfile/live/0010_1.m3u8
CCTV11,http://110.7.128.167:8096/tsfile/live/0011_1.m3u8
CCTV12,http://110.7.128.167:8096/tsfile/live/0012_1.m3u8
CCTV13,http://110.7.128.167:8096/tsfile/live/0013_1.m3u8
CCTV14,http://110.7.128.167:8096/tsfile/live/0014_1.m3u8
CCTV15,http://110.7.128.167:8096/tsfile/live/0014_2.m3u8
CCTV1,http://117.41.138.137:9999/udp/239.252.219.200:5140
CCTV2,http://117.41.138.137:9999/udp/239.252.220.183:5140
CCTV3,http://117.41.138.137:9999/udp/239.252.219.252:5140
CCTV3,http://117.41.138.137:9999/udp/239.252.220.193:5140
CCTV4,http://117.41.138.137:9999/udp/239.252.220.184:5140
CCTV5,http://117.41.138.137:9999/udp/239.252.219.198:5140
